"date","Temperature","Humidity","Light","CO2","HumidityRatio","Occupancy"
"2015-02-02",23.7,26.272,585.2,749.2,0.004764163,1
"2015-02-02",23.718,26.29,578.4,760.4,0.004772661,1
"2015-02-02",23.73,26.23,572.6666666667,769.6666666667,0.0047651526,1
"2015-02-02",23.7225,26.125,493.75,774.75,0.0047437734,1
"2015-02-02",23.754,26.2,488.6,779,0.004766594,1
"2015-02-04",24.29,25.7,808,1150.25,0.00482907864729539,1
"2015-02-04",24.33,25.736,809.8,1129.2,0.00484759240740331,1
"2015-02-04",24.33,25.7,817,1125.8,0.00484075873127256,1
"2015-02-04",24.3566666666667,25.7,813,1123,0.00484855928127551,1
"2015-02-04",24.4083333333333,25.6816666666667,798,1124,0.00486020770362199,1
